Lineup,Position,Name,Team,Opponent,Salary,Avg Points,Game Info
1,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
1,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
1,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
1,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
1,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
1,3B,Maikel Garcia,KC,TB,4400,8.54,TB@KC 06/25/2025 07:40PM ET
1,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
1,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
1,OF,Heliot Ramos,SF,MIA,4400,8.58,MIA@SF 06/25/2025 09:45PM ET
1,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
2,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
2,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
2,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
2,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
2,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
2,3B,Isaac Paredes,HOU,PHI,4300,8.15,PHI@HOU 06/25/2025 08:10PM ET
2,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
2,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
2,OF,Ian Happ,CHC,STL,4300,8.47,CHC@STL 06/25/2025 07:45PM ET
2,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
3,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
3,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
3,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
3,1B,Spencer Steer,CIN,NYY,2800,6.22,NYY@CIN 06/25/2025 07:10PM ET
3,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
3,3B,Maikel Garcia,KC,TB,4400,8.54,TB@KC 06/25/2025 07:40PM ET
3,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
3,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
3,OF,Ian Happ,CHC,STL,4300,8.47,CHC@STL 06/25/2025 07:45PM ET
3,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
4,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
4,P,Hunter Brown,HOU,PHI,10500,24.47,PHI@HOU 06/25/2025 08:10PM ET
4,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
4,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
4,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
4,3B,Gavin Lux,CIN,NYY,2800,6.03,NYY@CIN 06/25/2025 07:10PM ET
4,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
4,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
4,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
4,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
5,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
5,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
5,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
5,1B,Spencer Steer,CIN,NYY,2800,6.22,NYY@CIN 06/25/2025 07:10PM ET
5,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
5,3B,Isaac Paredes,HOU,PHI,4300,8.15,PHI@HOU 06/25/2025 08:10PM ET
5,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
5,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
5,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
5,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
6,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
6,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
6,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
6,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
6,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
6,3B,Maikel Garcia,KC,TB,4400,8.54,TB@KC 06/25/2025 07:40PM ET
6,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
6,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
6,OF,Randy Arozarena,SEA,MIN,4000,7.96,SEA@MIN 06/25/2025 07:40PM ET
6,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
7,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
7,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
7,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
7,1B,Ty France,MIN,SEA,3000,6.51,SEA@MIN 06/25/2025 07:40PM ET
7,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
7,3B,Gavin Lux,CIN,NYY,2800,6.03,NYY@CIN 06/25/2025 07:10PM ET
7,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
7,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
7,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
7,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
8,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
8,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
8,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
8,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
8,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
8,3B,Gavin Lux,CIN,NYY,2800,6.03,NYY@CIN 06/25/2025 07:10PM ET
8,SS,J.P. Crawford,SEA,MIN,3800,7.32,SEA@MIN 06/25/2025 07:40PM ET
8,OF,Ronald Acuna Jr.,ATL,NYM,6600,12.17,ATL@NYM 06/25/2025 07:10PM ET
8,OF,Byron Buxton,MIN,SEA,5700,10.53,SEA@MIN 06/25/2025 07:40PM ET
8,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
9,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
9,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
9,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
9,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
9,2B,Brendan Donovan,STL,CHC,3800,7.76,CHC@STL 06/25/2025 07:45PM ET
9,3B,Gavin Lux,CIN,NYY,2800,6.03,NYY@CIN 06/25/2025 07:10PM ET
9,SS,Jeremy Pena,HOU,PHI,4900,9.15,PHI@HOU 06/25/2025 08:10PM ET
9,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
9,OF,Heliot Ramos,SF,MIA,4400,8.58,MIA@SF 06/25/2025 09:45PM ET
9,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
10,P,Joe Boyle,TB,KC,7500,27.45,TB@KC 06/25/2025 07:40PM ET
10,P,Zack Wheeler,PHI,HOU,10300,24.47,PHI@HOU 06/25/2025 08:10PM ET
10,C,Reese McGuire,CHC,STL,2400,6.92,CHC@STL 06/25/2025 07:45PM ET
10,1B,Yandy Diaz,TB,KC,4000,8.25,TB@KC 06/25/2025 07:40PM ET
10,2B,Nico Hoerner,CHC,STL,3900,7.55,CHC@STL 06/25/2025 07:45PM ET
10,3B,Maikel Garcia,KC,TB,4400,8.54,TB@KC 06/25/2025 07:40PM ET
10,SS,Masyn Winn,STL,CHC,3600,7.43,CHC@STL 06/25/2025 07:45PM ET
10,OF,Aaron Judge,NYY,CIN,6700,12.27,NYY@CIN 06/25/2025 07:10PM ET
10,OF,Randy Arozarena,SEA,MIN,4000,7.96,SEA@MIN 06/25/2025 07:40PM ET
10,OF,Dominic Canzone,SEA,MIN,3000,7.64,SEA@MIN 06/25/2025 07:40PM ET
